,Inv,Note
1423,"Foto sup 2810, verso del supporto secondario: nota anonima manoscritta","N° 231. N.C. Central or National Museum. / Colossal statue of Themis found in 1890 in her temple at Ramnus. / It is about the year 200 before Christ. Its base is signed by the / sculptor Chairestratos; its marble is pentelic. / It is a very fine work of art""."
1424,"Foto sup 2714, verso del supporto secondario: nota anonima manoscritta","Daphne""."
1425,"Foto sup 2715, verso del supporto secondario: nota anonima manoscritta","Daphne""."
1426,"Foto sup 2716, verso del supporto secondario: nota anonima manoscritta","Daphne""."
1427,"Foto sup 2717, verso del supporto secondario: nota anonima manoscritta","Daphne""."
1428,"Foto sup 2718, verso del supporto secondario: nota anonima manoscritta","Capo Colonna. The temple of Minerva at Sunium of white marble. Twelve columns and a pilaster of xella are still standing surmonted by their architrave. They have now found that the temple was really dedicated to Poseidon. At a lower level was the temple of Athena mentioned by Pausanias"". 
"
1429,"Foto sup 2769, verso del supporto secondario: nota anonima manoscritta","181. N.C. Central Museum. Athens. A beautiful head, somewhat larger than life, said to represent a God or a Hero. They say it is of the 4th. century B.C. It has a look of the Italian renaissance. It was found in the small temple of Pluto in Eleusis in 1885, and is supposed to represent Eubouleus. Some think it the work of Praxiteles; ..."""
1430,"Foto sup 2770, verso del supporto secondario: nota anonima manoscritta","Central Museum. Athens. N. 1392. Offering of a horse to Asklepios""."
1431,"Foto sup 2772, verso del supporto secondario: nota anonima manoscritta","N° 419. N.C. Central Museum. Athens. Head of the Roman period. To me it looks of the renaissance and its marble is not Greek, but the head was found in the excavations at the theatre of Dionysos. Beautiful art"". "
1432,"Foto sup 2774, verso del supporto secondario: nota anonima manoscritta","N° 232. N. C. of Central Museum. Statue of Aristonoe, priestess of Nemesis found in 1890 at Ramnas in temple of Themis. Lifesize and of pentelic marble. The work is excellent and dates from the second century before Christ"". "
1433,"Foto sup 2775, verso del supporto secondario: nota anonima manoscritta","N° 246. N.C. Central Museum. Athens. Statue of a young man found at Athens. It is of the Roman period and probably a copy of an original work of Lysippus. It represents probably Perseus. Pentelic marble"". "
1434,"Foto sup 2776, verso del supporto secondario: nota anonima manoscritta","N° 244. N.C: Statue of a man rather larger than life and of pentelic marble. It was found in Eritrea in 1885. The head which resembles that of the Hermes of Olympia is of far better work manship that the remaining parts of the statue, which seem of Roman times"". "
1435,"Foto sup 2779, verso del supporto secondario: nota anonima manoscritta"," N° 239 N.C. Central Museum. Athens. N° 114 of a young Satyr, resembling the Naples Narcissus. It is an excellent work of the alexandrine school and was found at Lamia"". "
1436,"Foto sup 2780, verso del supporto secondario: nota anonima manoscritta","N° 240 N. C. Statue of Hermes the rambearer of large life size, found at Troezen in 1890 in the excavations of the french school. Of pentelic marble. The art is of Roman times and the statue is a copy of one of the 4th. centy. B.C.""."
1437,"Foto sup 2781, verso del supporto secondario: nota anonima manoscritta","N° 235. N.C. Colossal statue of Poseidon of Parian marble found at Milo in 1877 and bought for 27.000 drachmas. It appears to date from diadoch times""."
1438,"Foto sup 2782, verso del supporto secondario: nota anonima manoscritta","N° 247. N.C. Central Museum, Athens. The fighting warrior, like the Borghese warrior of the Louvre. It was found in the excavations made by the French school in Delos in 1883. Size rather above that of nature, marble parian. It was made by Agasias the son of Menophilos of Ephesus who appears to have been a disciple of the school of Pergamos and ..."".
"
1439,"Foto sup 2784, verso del supporto secondario: nota anonima manoscritta","N° 739 of New Cat.e. Stele found near Thebes. In her right hand she probably held a flower that was painted on the stone, in her left hand an apple. Her pet name was Amphotto. The date of the stele circa 450 B.C."""
1440,"Foto sup 2785, verso del supporto secondario: nota anonima manoscritta","National Museum, Athens. An offering to Asklepios""."
1441,"Foto sup 2786, verso del supporto secondario: nota anonima manoscritta","National Museum, Athens. The Magna Mater seated between her lions like Solomon in his glory""."
1442,"Foto sup 2787, verso del supporto secondario: nota anonima manoscritta","251. N.C. Small Pan of Pentelic marble found at the Piraeus in 1839. It is of Roman times""."
1443,"Foto sup 2788, verso del supporto secondario: nota anonima manoscritta","248 of N.C. Central Museum, Athens. A runner or perhaps Ganymed. Found near the Olympeion at Athens in 1888. Perhaps of Roman times. Pentelic marble""."
1444,"Foto sup 2789, verso del supporto secondario: nota anonima manoscritta"," N° 234 N.C. Central Museum. The colossal hand of Athene of Pentelic marble found in 1874 by Dr. Treiber and given by him to the Museum. Friederichs-Wolters put its date back to the 4th. cent.y B.C."".
"
1445,"Foto sup 2795, verso del supporto secondario: nota anonima manoscritta","N° 234 N.C""."
1446,"Foto sup 2790, verso del supporto secondario: nota anonima manoscritta","238. N.C. Athens, Central Museum. Small statue of Aphrodite found at Milo in 1877. She leans on an archaistic statue of herself. The marble is parian""."
1447,"Foto sup 2791, verso del supporto secondario: nota anonima manoscritta","Central Museum, Athens. Hygeia. Not yet numbered""."
1448,"Foto sup 2792, verso del supporto secondario: nota anonima manoscritta","N° 274. N.C. Central Museum, Athens. Athene Hygeia. As small image. Marcus Junius the torchbearer in the year 181 - M. Aurelius time, She was found in 1886 in the temple of Asklepios at Epidaurus. Marble, pentelic""."
1449,"Foto sup 2793, verso del supporto secondario: nota anonima manoscritta","N° 184 N.C. Athens, Central Museum. Head of a youth found in 1875 in the onter Keramika, Athens. Life size and of Pentelic marble""."
1450,"Foto sup 2794, verso del supporto secondario: nota anonima manoscritta","253. N.C. Central Museum. Small Hercules of pentelic marble found in 1885 near Dr. Irene of Athens. Of Roman times""."
1451,"Foto sup 2796, verso del supporto secondario: nota anonima manoscritta","327. National Museum Athens. Head of Demosthenes found in 1849 in the royal garden, Athens. A mediocre work of the Greek decadence. Pentelic marble. See Lucy Mitchell""."
1452,"Foto sup 2797, verso del supporto secondario: nota anonima manoscritta","N° 261. Maenad of National Museum, Athens; found there in 1880. A work of good Romano-Greco art""."
1453,"Foto sup 2811, verso del supporto secondario: nota anonima manoscritta","N°. 182. N.C. / Womans head, probably that of Aphrodite, found in the excavations / at the precinct of Esculapius in 1876. / It is a beautiful work of the / 4th. century B.C. Marble parian. Fr. Wolters. N° 1277, considers it / Praxitelean. It has a bandeau round it and 2 holes behind / thro' which probably passed a bronze pin. / It is similar to a head in the Berlin Mus.m No. 610 which I much / admire. This head has...""."
1454,"Foto sup 2862, verso del supporto secondario: nota anonima manoscritta","Tiryns. The Gallery"".
"
1455,"Foto sup 2894, verso del supporto secondario: nota anonima manoscritta","Cyclopean walls of Tiryn, the most ancient monument in Greece, from 25 to 50 feet thick and, originally, some 60 feet high; they are not always massive being traversed by galeries 4 can easily be distinguished. The stones are usually about 7 ft. by 3 by 3, but some are as much as 10 feet in lenght. The principal gate on the eastern side is ...""."
1456,"Foto sup 2863, verso del supporto secondario: nota anonima manoscritta","Delphi. Castalian fontain. In it pilgrims purified themselves by washing their hais. Murderers however washed the whole body. It basin was ruined by the earthquake of 1880, when a huge block fell into it and covered it up. The spring bursts ont from between the Phaedriades, 2 shining peaks, 1000' over Delphi, and so close together as to leave only ...""."
1457,"Foto sup 2812, verso del supporto secondario: nota anonima manoscritta","N° 189. N.C. / Head of a youth, size of life found in the excavations at the southside / of the Akropolis in 1867; in the Stoa of Eumenes. Beautiful work of the / 4th. century B.C; marble, pentelic. Furtwaengler says the head / is by Scopas""."
1458,"Foto sup 2864, verso del supporto secondario: nota anonima manoscritta","Excavation at Delphi""."
1459,"Foto sup 2865, verso del supporto secondario: nota anonima manoscritta","Olympia. Temple of Zeus and Heraion"".
"
1460,"Foto sup 2866, verso del supporto secondario: nota anonima manoscritta","Heraion at Olympia"".
"
1461,"Foto sup 2867, verso del supporto secondario: nota anonima manoscritta","Korinth. 7 Doric columns of the temple of Minerva of the middle of the 7th. century. They are of lime stone covered with fine stucco. The temple was probably an [?]style. Stuart in 1752 found 12 columns standing and a portion of a wall with a house built up against it"
1462,"Foto sup 2868, verso del supporto secondario: nota anonima manoscritta","Pyramid of Kenchrae near Argos. Of it nothing is known. It is quadrangular and entered by a passage formed by the overlapping of one of its walls. At 3 feet from the ground the exterior walls begin to slope inwards and make an angle of about 30° with the vertical. The inside is a square of 23 feet and the walls 9 feet thick. Style polygonal ..."""
1463,"Foto sup 2869, verso del supporto secondario: nota anonima manoscritta"," Sparta. The so called tomb of Leonidas one quarter of a mile north of the town. It is an oblong structure of good hellenic masonry, about 35 feet by 32 and standing on a plenth. It may have been a temple. The real tomb that contained the heros bones, brought from Thermopylae, was at the theatre - so says Pausanias""."
1464,"Foto sup 2813, verso del supporto secondario: nota anonima manoscritta","N° 275. N.C. / Central Museum. Athens. Athene found at Epidaurus, like the Ath.a Hyg.a, / and by same hand. / Miss Harrison thinks the represents the contest type of Athene. She is of pentelic marble, about a third of lifesize and, as appears by an inscription, dedicated to Artemis""."
1465,"Foto sup 2814, verso del supporto secondario: nota anonima manoscritta","N. Mus.m 11. N° 380. N.Cat. / Unfinished female statue of Roman period? / Larger than life size and of pentelic marble""."
1466,"Foto sup 2871, verso del supporto secondario: nota anonima manoscritta","Thorikos near Laurion. Theatre excavated by the American Arch. Inst. in 1886""."
1467,"Foto sup 2872, verso del supporto secondario: nota anonima manoscritta","Aigina. Temple of Minerva, one of the most ancient in Greece, probably of 6.th century. 22 of its 34 columns are entire with most of their architrave. The stone is of a soft porous nature and covered with stucco. The archaic sculptures of the pediments are at Munich"".
"
1468,"Foto sup 2873, verso del supporto secondario: nota anonima manoscritta","The doric temple at Aigina, circa 550 B.C."". "
1469,"Foto sup 2816, verso del supporto secondario: nota anonima manoscritta","N° 177. N.C. / Head, probably Athene, found in 1857 in the Odeon of Herod. / The face was waxed, the hair gilt and the eyes inserted. / Size, rather larger than life; marble, pentelic. / She appears to be an imitation of Pheidias chryselephantine / Athene and may have worn a helmet""."
1470,"Foto sup 2875, verso del supporto secondario: nota anonima manoscritta","Eleutherae, halfway between Eleusis and Thebes, is now called Gyphtecastro (Gypsy Castle). The ruins shown in the photo, are those of the northern wall of the fortress seen from the exterior. This face is 400 yards in length and is defended by 7 rectangular towers nearly entire connected by a wall 12 feet high. This wall consist of a ..."".
"
1471,"Foto sup 2874, verso del supporto secondario: nota anonima manoscritta","Eleutherae. A tower of its walls seen from the interior"". "
1472,"Foto sup 2877, verso del supporto secondario: nota anonima manoscritta","Mykenai. One of the eight beehive tombs found there. Its round part has fallen in leaving only the cylindrical portion, 30 feet deep, and three graves in which nothing was found. See book of Tsountas and Manati on Mykaine. The tomb of Tantalus in Phrygia presents exactly the same characteristics of style and construction as these beehive tombs. The one found at Eleusis was discovered by F. Lenormant see Gazette archeo. vol VIII, 1883""."
1473,"Foto sup 2884, verso del supporto secondario: nota anonima manoscritta","Canal of Corinth""."
1474,"Foto sup 2885, verso del supporto secondario: nota anonima manoscritta","The Soros at Marathon. The pottery being of about 500 showed that the remains found with it were those of the 192 Athenians slain in the battle, 490 B.C. The Platreans and the Slaves were buried in other mounds of which they are now trace. Herodotus says 6400 Persians were kileed in the action. On the Soros was a lion carried off ..."".
"
1475,"Foto sup 2886, verso del supporto secondario: nota anonima manoscritta","The Soros at Marathon. In 1884 Schliemann opened the mound and found there in obsidian arrow hands and other prehistoric relies, but no human bones and came to the conclusion that it was not a sepulchre. In 1890 it was dug into again and ashes and the bones of many corpses were found. These remains are now in the Nat.l Museum, Athens, and ..."".
"
1476,"Foto sup 2887, verso del supporto secondario: nota anonima manoscritta","Beyond Daphni on road to Eleusis. Niches that were filled with votive reliefs offered to Aphrodite"".
"
1477,"Foto sup 2888, verso del supporto secondario: nota anonima manoscritta","The Propylaea at Eleusis"".
"
1478,"Foto sup 2889, verso del supporto secondario: nota anonima manoscritta","Eleusis. The smaller Propylaea"".
"
1479,"Foto sup 2891, verso del supporto secondario: nota anonima manoscritta","Eleusis. The larger Propylaea"".
"
1480,"Foto sup 2893, verso del supporto secondario: nota anonima manoscritta","Theatre at Argos below the Larissa, a Frank castle. The view from the upper seats of this theatre is considered to be one of the finest in Europe and to be preferred to the views from the theatres of Taormina and Syracuse"".
"
1481,"Foto sup 2898, verso del supporto secondario: nota anonima manoscritta","N° 714 of New Cat. Central Museum. A portion of a funeral relief found probably in the Piraeus. It is of pentelic marble and probably of the 5th. century B.C. Tho' much mutilated it is still one of the best in the collection""."
1482,"Foto sup 2899, verso del supporto secondario: nota anonima manoscritta","N° 173 N.C. of Central Museum. Asklepios seated on a throne found in 1884 in his temple at Epidauros. An imitation of the chryselephantine statue of the god which Thrasymedes of Paros made for the Sanctuary. Pentelic marble"". Nota anonima manoscritta sul recto del supporto secondario: ""Class. Scul. Gall."". "
1483,"Foto sup 2900, verso del supporto secondario: nota anonima manoscritta","N° 720 of N. Cat. Central Museum, Athens. Melite Spodokratos gune Phlueos. Found in 1836 at the Piraeus. Of the 4.th century B.C.""."
1484,"Foto sup 2901, verso del supporto secondario: nota anonima manoscritta","N° 726. From the Peiraius. Of pentelic marble. A beautiful work of the 4th. cent.y B.C. Friedrichs-Wolters N° 1031 also Lucy Mitchell""."
1485,"Foto sup 2817, verso del supporto secondario: nota anonima manoscritta","National Museum, Athens. / Bronze statuette of a Satyr, of the third century B.C. like the layer example / upstairs in the Br. Museum. He came with Demetrion's collection from Alexandria""."
1486,"Foto sup 2902, verso del supporto secondario: nota anonima manoscritta","Without number. Central Museum, Athens. Funeral monument of a mother and daughter""."
1487,"Foto sup 2903, verso del supporto secondario: nota anonima manoscritta","N° 723"".
"
1488,"Foto sup 2849, verso del supporto secondario: nota anonima manoscritta"," N. Mus.m 25. Now 723 of N. Cat. Central Museum. / Sepulchral relief of Polyxene. / Her little son has an apple in his hand. / Found at the Dipylon; date about 400 B.C.""."
1489,"Foto sup 2818, verso del supporto secondario: nota anonima manoscritta","National Museum, Athens. / Curious relief of Persian art""."
1490,"Foto sup 2904, verso del supporto secondario: nota anonima manoscritta","N° 729. N. Cat. Central Museum. Dexikrateia seated stretches on her hand to the bearded Dion; between them stands Lysistrate. Work of late Hellenic times""."
1491,"Foto sup 2905, verso del supporto secondario: nota anonima manoscritta","Athens. Sarcophagus in the grounds of John Soutzoz"". "
1492,"Foto sup 2906, verso del supporto secondario: nota anonima manoscritta","A very fine fragment found at Athens. White marble. 61 inches by 42. Most beautiful art of 5th. cent.y B.C.""."
1493,"Foto sup 2907, verso del supporto secondario: nota anonima manoscritta","N° 817 of New Cat.e Zopyra presents a bird to her little son. Below her sent is a box on which are book rolls. The stele was found at Thespiai in 1869. The art is good and of the 4th. century B.C.""."
1494,"Foto sup 2908, verso del supporto secondario: nota anonima manoscritta","N° 821. of New Cat. Fragment of a seated woman. Good art of the 5th. century B.C. Pentelic marble""."
1495,"Foto sup 2909, verso del supporto secondario: nota anonima manoscritta","N° 818 of N. Cat.e of Central Museum. Found at Thespiae where it remained in the local collection till 1888. Boetian stone; art of the 5th. century and somewhat archaic. ...""."
1496,"Foto sup 2910, verso del supporto secondario: nota anonima manoscritta","N° 826. New Cat.e Central Museum. Fine but much worn monument of good Hellenic art found in Salamin in 1830. Mnisistrate standing bids fareweel to her husband or father""."
1497,"Foto sup 2911, verso del supporto secondario: nota anonima manoscritta","N. Mus.m 20. Now 869. of Central Museum. Sepulchral relief of a youth, a hunter. From the bed of the Ilissos; found in 1874. Pentelic marble, good work of the 4th. cent.y""."
1498,"Foto sup 2912, verso del supporto secondario: nota anonima manoscritta","N° 902 of N. Cat. Central Museum. Stele of Tynnias found at the Piraeus where it remained in the local collection till 1888. Pentelic marble; good art of the 4th. cent.y B.C.""."
1499,"Foto sup 2913, verso del supporto secondario: nota anonima manoscritta","901, of N. Cat. Central Museum. To Selino seated is brought by the young girl Niko the child Mynnake. Pentelic marble. Work of the 4th. century B.C. Found at Athens. Friedrichs Wolters N° 1033""."
1500,"Foto sup 2914, verso del supporto secondario: nota anonima manoscritta","893 of New Cat.e Central Museum. Portion of a funeral stele of a youth holding a strigil in his right hand. He was named Philodemos. The material is pentelic marble and the art of late Hellenic times""."
1501,"Foto sup 2915, verso del supporto secondario: nota anonima manoscritta","N° 884 N. Cat. of Central Museum. Large stele on which are represented a loutrophoros and a lekithos. On the first a young warrior Panaitios bids farewell to his old father Amaxanteus; on the second a lud trundles a hoop. Good art of the 4th. century. They say, the old father had lost 3 sons""."
1502,"Foto sup 2916, verso del supporto secondario: nota anonima manoscritta","N. Mus.m 24. now 871 of Central Museum. Sepulchral relief of a youth, an athlete. It was found in 1840 in the onter Kerameikon. Pentelic marble. Similar to N° 869 but of inferior art. Fr. Wolters N° 1011""."
1503,"Foto sup 2917, verso del supporto secondario: nota anonima manoscritta","N° 1028 of N. Cat. Central Museum. Large stele of white marble found in Tinos. [...] (good and affectionate farewell). Nike is seated and before her stands a young man, probably her son. At her knee stands her little daughter holding a fan. Good art of hellenic-romano time. Fried. Wolters ...""."
1504,"Foto sup 2918, verso del supporto secondario: nota anonima manoscritta","Without number. Central Museum, Athens. Now N° 1193. Fragment of a fine monument of late times. Alexandra as a priessess of Isis. She doubtless sheld a sistrum in her right hand""."
1505,"Foto sup 2920, verso del supporto secondario: nota anonima manoscritta","N° 966 of N. Cat. Central Museum. Stele of a woman found in the nekropolis of the Dipylon and presented by the Gas Company to the Museum in 1891. Good art of about 300 years B.C.""."
1506,"Foto sup 2919, verso del supporto secondario: nota anonima manoscritta","No. 981 and 750. Central Museum. 981 represents the child Mnesiptoleme with her ball and her bird in her hands and a dog by her side. Pentelic marble. Common art of late hellenic times. 750 represents a seated woman, Chrysaliis, a standing woman Myrte and a standing bearded old man Phaidrias. Pentelic marble; art of late hellenic times and ...""."
1507,"Foto sup 2821, verso del supporto secondario: nota anonima manoscritta","National Museum, Athens. / N° 1499. / Poor and late art of Roman times""."
1508,"Foto sup 3065, verso del supporto secondario: nota anonima manoscritta","Edimburg. St. Giles. Modern tomb of Montrose, or more properly""."
1509,"Foto sup 2824, verso del supporto secondario: nota anonima manoscritta","Nat. Museum. N° 1201. / Sepulchral monument of Roman times""."
1510,"Foto sup 3063, verso del supporto secondario: nota anonima manoscritta","G. Scotts restored reredos at All Souls, Oxford. Upper line: Michael between 12 apostles. Second line: York ..."".
"
1511,"Foto sup 3037, verso del supporto secondario: nota anonima manoscritta","Peile Castle and castellated cathedral, Isle of Man"". 
"
1512,"Foto sup 3038, verso del supporto secondario: nota anonima manoscritta","Castellated Cathedral, Sodor, Peile, Isle of Man"". 
"
1513,"Foto sup 3039, verso del supporto secondario: nota anonima manoscritta","Isle of Man. Round tower in Peel castle near one of the old churchs. Whether is was a campanile or a watch tower cannot be decided, but, by the constuction of its door, it seems of great antiquits. The upper portion seems of later date than the tower proper. Miss Stokes says of this round tower of St. Patricks that it is of the same style as that ..."". 
"
1514,"Foto sup 3042, verso del supporto secondario: nota anonima manoscritta","Isle of Man. Interior of Cathedral of Peel Castle, Sodor""."
1515,"Foto sup 2826, verso del supporto secondario: nota anonima manoscritta","National Museum, Athens. / Mykenai. Tomb N° IV. Head in silver of a bull. / The horns and star on the forehead are of gold / and the muzzle, the ears and the eyes were covered by gold / plates laid on copper""."
1516,"Foto sup 2828, verso del supporto secondario: nota anonima manoscritta","National Museum, Athens. / These are the two wonderful gold cups or bowls found in a tomb / at Vaphio in Laconia. / They are of Mykenaean art, 1300 years B.C.""."
1517,"Foto sup 3043, verso del supporto secondario: nota anonima manoscritta","Isle of Man, Ruin crosses in Kirk Maddan Churchyard near Douglas, There are 6 in all""."
1518,"Foto sup 2829, verso del supporto secondario: nota anonima manoscritta","N° 22. New Cat.e of National or Central Museum. / Found in Delos in 1883 by the French school under the direction of Mr. Paris. / Rather larger than life; marble, parian; art, archaic. / She resembles the statues of the young women found on the Akropolis. / Mr. Homolle calls her Artemis on account of the place where the was found, but she is probably...""."
1519,"Foto sup 2830, verso del supporto secondario: nota anonima manoscritta","National Museum, Athens. / Golden mask from Mykenai, tomb N° IV. It is older than the / two other golden masks found in this tomb. / Says Perrot:""this nation of builders and hourders will remain masked in history as were the faces of its sovereigns in the tomb"". Vol. VI""."
1520,"Foto sup 2931, recto del supporto secondario: nota anonima manoscritta","British Museum. Eastern frieze of the Parthenon. Hermes, Apollo, Artemis, Ares""."
1521,"Foto sup 2832, verso del supporto secondario: nota anonima manoscritta","National Museum Athens. / 28 Archaic Sphinx from Spata in Attica of Pentelic marble. / 76. Archaic Sphinx found at the Peiraios in 1880. Parian marble. / 52. Archaic head of beautiful art. Pentelic marble. 93. Disk of Parian marble found at the Peiraios in 1889. 11 inches in diam. The painting on it is now almost effaced but once represented a...""."
1522,"Foto sup 2833, verso del supporto secondario: nota anonima manoscritta","910. / Fragment of a lovely stele found in the botanical gardens, Athens. / It represents a girl holding a pyx in her left hand and is of / most beautiful art and amongst the most lovely works of the / kind in the Museum. 20 inches by 13. Friedrichs-Wolters 1022""."
1523,"Foto sup 2834, verso del supporto secondario: nota anonima manoscritta","Central Museum, Athens. / Bas relief of Dionysos on a bed with a rhyton in his hand and a / girl at his feet. Is is called that of the actresses, 3 of whom stand to the / right with mask and tympanon. The inscription, Dionysus, paideia / (a young girl), is of much later date than the bas relief which some think / to be of 4th. century""."
1524,"Foto sup 2968, verso del supporto secondario: nota anonima manoscritta","British Museum. A good copy of Poliklets Diadumenos, which Sir C. Newton bought at Vaison for 20,000 or 25,000 francs""."
1525,"Foto sup 2991, verso del supporto secondario: nota anonima manoscritta","British Museum. Mausoleum Room. Eastern side of frieze of monument. Combat between Greeks and Amazons. The young nude warrior is very fine; by Scopas; N. 8. Fr. + Wolt. N. 1230 and other""."
1526,"Foto sup 2960, verso del supporto secondario: nota anonima manoscritta","British Museum. Demeter from the studio of Praxiteles, if not be, the Master himself. The head is of marble and the body of limestone. The face expresses the grief of a mother deprived of her daughter combined with the dignity of a Goddess. Sir Charles Newton brought her from Cnidos. The body is too short from the bosom to the [...] Miss Sellers says the statue is by Scopas. Pater says, she reminds him of la Vierge des balances, of the school of Lionardo, in the Louvre""."
1527,"Foto sup 2977, verso del supporto secondario: nota anonima manoscritta","British Museum, head of Apollo Musagetes, copy of a head of a statue probably by Scopas""."
1528,"Foto sup 2979, verso del supporto secondario: nota anonima manoscritta","British Museum. Archaistic statue of Artemis from Rome. The modern head has been inserted""."
1529,"Foto sup 2835, verso del supporto secondario: nota anonima manoscritta","N° 1450. Central Museum. / Nude youth with horse and snake. Of Roman times. / This relief come from Loukon in Laconia and belongs to the series in which the dead man is represented as a hero""."
1530,"Foto sup 2836, verso del supporto secondario: nota anonima manoscritta","Without number. Central Museum, Athens. / Relief of Agakles""."
1531,"Foto sup 2837, verso del supporto secondario: nota anonima manoscritta","N° 870 of N. Cat.e Central Museum, Athens. / A duplicate"".
"
1532,"Foto sup 2840, verso del supporto secondario: nota anonima manoscritta","N° 870 of N. Cat. / Central Museum, Athens. / Quite lately brought into Museum. / A beautiful work of Hellenistic times found at Athens"""
1533,"Foto sup 2962, verso del supporto secondario: nota anonima manoscritta","British Museum. Elgin room. Asklepios Blacas, found in the shrine of A. at Melos in 1828. Of 5 th. century and made up of pieces. A heavy metal wreath was fastened round the head; rivets still there. Votive inscriptions to A. and Hygieia also found there. Friederichs Wolters who put it in the 4 th. century""."
1534,"Foto sup 2838, verso del supporto secondario: nota anonima manoscritta","N° 1192. Central Museum. Athens. / Stele of Artemidoros. / He is spearing a wild boar. From an olive hangs a basket / containing a hare. Goass in the foreground. / Late art""."
1535,"Foto sup 2953, verso del supporto secondario: nota anonima manoscritta","British Museum. The reliefs of this tomb were all colored; the field a bright blue and traces of red and even scarled have been found on the raised surfaces. Below the deitys chair is a small bear, the meaning of which has not been explained. The winged female figures are not harpies, but death genii, carring off the souls of the ...""."
1536,"Foto sup 2930, verso del supporto secondario: nota anonima manoscritta","British Museum. This fine lion originally surmounted a Doric tomb which stood on a promontory a little to the east of Cnidos, and which originally consisted of a square basament surrounded by a Doric columnade [i.e. column] and surmounted by a pyramid. The tomb contained a circular chamber within which were 11 cells or loculi. Sir C. Newton ...""."
1537,"Foto sup 2957, verso del supporto secondario: nota anonima manoscritta","British Museum. Athenian stele. Of circa 400 small, 30 inches by 18. Said to came from Jersey""."
1538,"Foto sup 2839, verso del supporto secondario: nota anonima manoscritta","N° 154. Central Museum. Now 743. of N. Cat.e / Damaistrate of Polykleidos. / Of good period, found at the Peiraeus in 1838""."
1539,"Foto sup 2929, verso del supporto secondario: nota anonima manoscritta"," British Museum. Small bronzes. 1 and 3 Herakles or Athlete from Woodhouse Collection. 2 Aphrodite Persephone ? inscribed Aristomacha, dedicated to Eleuthia; she holds a flower in her right hand. From Townley collection. 4 Archaic female figure holding a flower in her right hand. From Woodhouse collection. 5 Apollo, supposed to be a copy ...""."
1540,"Foto sup 2841, verso del supporto secondario: nota anonima manoscritta","N° 127. New Cat.e of Central or National Museum. / A crater found in Attica and formerly in Finlays collection. / On it is represented the story of Athene, Marsyas and her flutes""."
1541,"Foto sup 2967, verso del supporto secondario: nota anonima manoscritta","The Strangford Apollo or Athleta of the British Museum. In 1864 he was stated to came from Lemnos, but he is also said to have been found in Anaphe, an island near Santorin. Fr. Wolters N. 89 consider him to be of the school and of the period of the Aeginetan sculptures say circa 485. Round the tainia (fillet) are 5 holes for a bronze wreath""."
1542,"Foto sup 2998, verso del supporto secondario: nota anonima manoscritta","British Museum. Archaic female head of 6 th. century. It was presented by the heirs of R. Webb, who travelled in Greece in 1840. Collignon says of its style that it is that of ""ionisme finissant"", and dates it at circa 510 B. C. He thinks it may even be of prehistoric times, and like that Antenors grand woman in the Akropolis Museum ...""."
1543,"Foto sup 2842, verso del supporto secondario: nota anonima manoscritta","N. Mus.m 2. Now 715 of Central Museum. / Sepulchral Monument of a youth. / From Lamia. The cat is curious, as it is generally supposed / that the early Greeks had no cats. Still an individual cat may have been brought from Egypt. / They say now that the stele was found in Aegina before 1829. / Marble pentelic. / Fr. and Wolters. N° 1012""."
1544,"Foto sup 2843, verso del supporto secondario: nota anonima manoscritta","N° 712. Central Museum, Athens. / Stele of Aristeus Iphistiades and others. / Of pentelic marble; found at Athens in 1885. / From the lettering it seems to be of the middle of the 5th. cent.y B.C""."
1545,"Foto sup 2928, recto del supporto secondario: nota anonima manoscritta","British Museum. Metopes from the Parthenon. Metope N. 6. The head of the Centaur is in the Akropolis Museum, the head of the Lapith is in the Louvre; Walstein identified it. Said to be the finess of the Metopes""."
1546,"Foto sup 2844, verso del supporto secondario: nota anonima manoscritta","N° 738. Central Museum, Athens. / Aristonautes Archenauto Alaieus. / Found at Athens in 1861 near church of Hagia Triada. / Of the 3.d century before Christ""."
1547,"Foto sup 2845, verso del supporto secondario: nota anonima manoscritta","N° 740. 741. 742. of New Cat. Central Museum. / 740. Lower part of a stele representing a woman holding a young hare. / Found at Kesserli near Larissa of Thessay in 1883. Art of about 450 B.C. / 741. Large stele found in Jewrish cemetery of Larissa in 1881. White marble. / A youth wearing the petassos on his head carries a young hare in his right / hand. [...] , the initial letters of Sesou Christou have been engraved on / the stele [...] of the 5th century before Ch. / 742. Large stele found at Thespiae in 1884 of white marble. / His of the 5th Century B.C. tho' retouched in Roman times. / The art resembles that of Donatello""."
1548,"Foto sup 2846, verso del supporto secondario: nota anonima manoscritta","N° 736. Central Museum, Athens. / Found in the plain not far from Eleusis in 1876. / Epikaris, the father / Platon, the son. / Of the 3d. century before Christ. Pentelic marble""."
1549,"Foto sup 2847, verso del supporto secondario: nota anonima manoscritta","N° 744. N. Cat. Central Museum. / A woman backed by an anthemion. / Found in 1856 in Attica. Marble, pentelic; style that of about / 400 years B.C. Fried. Wolters N° 1120""."
1550,"Foto sup 2961, verso del supporto secondario: nota anonima manoscritta","British Museum. N. 208. Archaic, or archaistic, head of Apollo, brought from Rome by Lord Cawdor and purchased by Townley. It is a copy of an archaic bronze, and probably by an artist of the time of Kanachos""."
